title,type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,cluster,name
Alice in Borderland,SHOW,2020,47,2.0,7.6,49446.0,71.018,8.2,JP,1,action,21,alice in borderland
The Dark Crystal: Age of Resistance,SHOW,2019,51,1.0,8.4,24419.0,23.53,7.8,US,2,scifi,2,the dark crystal: age of resistance
When They See Us,SHOW,2019,74,1.0,8.9,116560.0,20.965,8.2,US,1,drama,10,when they see us
The Haunting of Bly Manor,SHOW,2020,55,1.0,7.3,99047.0,29.636,7.8,US,1,thriller,32,the haunting of bly manor
Sweet Magnolias,SHOW,2020,50,2.0,7.3,17689.0,17.137,7.9,US,1,drama,10,sweet magnolias
Warrior Nun,SHOW,2020,43,2.0,6.8,30243.0,45.891,7.9,US,1,action,17,warrior nun
Don't F**k with Cats: Hunting an Internet Killer,SHOW,2019,62,1.0,8.0,51559.0,13.548,7.7,GB,1,documentation,41,don't f**k with cats: hunting an internet killer
The Defeated,SHOW,2020,55,1.0,7.0,5902.0,7.002,6.846,DE,1,history,-1,the defeated
The Family,SHOW,2019,50,1.0,6.4,3491.0,6.904,6.9,US,1,documentation,26,the family
Into the Night,SHOW,2020,36,2.0,7.1,31559.0,22.983,7.5,BE,1,scifi,-1,into the night
Feel Good,SHOW,2020,25,2.0,7.5,10690.0,9.986,7.4,GB,1,drama,29,feel good
Ragnarok,SHOW,2020,47,2.0,7.5,36863.0,118.364,8.067,NO,1,thriller,-1,ragnarok
Love Is Blind,SHOW,2020,54,5.0,6.1,7863.0,1.4,7.7,US,1,reality,19,love is blind
Young Wallander,SHOW,2020,45,2.0,6.9,11377.0,72.638,7.1,GB,1,thriller,-1,young wallander
Hollywood,SHOW,2020,50,1.0,7.5,36052.0,11.855,7.6,US,1,drama,10,hollywood
Our Planet,SHOW,2019,50,1.0,9.3,42259.0,19.942,8.8,GB,1,documentation,41,our planet
The Chef Show,SHOW,2019,31,2.0,8.2,5107.0,7.305,7.8,US,1,documentation,26,the chef show
Big Timber,SHOW,2020,48,2.0,6.6,705.0,19.64,7.0,CA,1,reality,-1,big timber
Raising Dion,SHOW,2019,43,2.0,7.1,14799.0,33.326,7.8,US,1,scifi,2,raising dion
Ratched,SHOW,2020,54,2.0,7.2,54291.0,35.227,7.8,US,1,drama,10,ratched
The Politician,SHOW,2019,43,2.0,7.5,22182.0,14.713,7.4,US,1,comedy,1,the politician
The Cursed,SHOW,2020,62,1.0,7.1,466.0,4.435,7.9,KR,1,thriller,-1,the cursed
Dorohedoro,SHOW,2020,25,1.0,8.1,8262.0,23.072,8.6,JP,1,scifi,8,dorohedoro
The Society,SHOW,2019,56,1.0,7.0,28647.0,21.138,7.7,US,1,drama,10,the society
Unorthodox,SHOW,2020,54,1.0,8.0,76083.0,15.173,7.9,DE,1,drama,45,unorthodox
The Twelve,SHOW,2019,48,1.0,7.4,5174.0,9.883,7.0,BE,1,thriller,-1,the twelve
Barbarians,SHOW,2020,47,1.0,7.2,23709.0,37.819,7.396,DE,1,drama,45,barbarians
The Movies That Made Us,SHOW,2019,47,3.0,7.6,6288.0,10.08,7.4,US,1,documentation,26,the movies that made us
Cursed,SHOW,2020,55,1.0,5.8,29864.0,30.279,7.4,US,1,action,17,cursed
Lego Jurassic World: Legend of Isla Nublar,SHOW,2019,22,1.0,6.7,289.0,13.663,7.2,CA,1,comedy,18,lego jurassic world: legend of isla nublar
Living with Yourself,SHOW,2019,26,2.0,7.2,30624.0,9.447,6.8,US,1,drama,10,living with yourself
Giri/Haji,SHOW,2019,58,1.0,7.8,14008.0,14.215,7.7,GB,1,drama,29,giri/haji
The Spy,SHOW,2019,53,1.0,7.9,41237.0,16.993,7.6,FR,1,drama,35,the spy
Pokémon Journeys: The Series,SHOW,2020,22,1.0,6.9,563.0,1.4,6.0,JP,1,animation,6,pokémon journeys: the series
Jeffrey Epstein: Filthy Rich,SHOW,2020,57,1.0,7.1,23816.0,9.369,7.2,US,1,documentation,26,jeffrey epstein: filthy rich
Bogdan Boner: Egzorcysta,SHOW,2020,12,2.0,7.3,105.0,10.114,4.0,PL,1,animation,-1,bogdan boner: egzorcysta
The Valhalla Murders,SHOW,2019,47,1.0,7.1,13467.0,11.145,6.8,IS,1,crime,-1,the valhalla murders
The Last Czars,SHOW,2019,45,1.0,7.3,8248.0,9.163,7.4,GB,1,romance,-1,the last czars
Selling Sunset,SHOW,2019,36,5.0,6.4,6217.0,8.686,7.0,US,1,reality,19,selling sunset
Glow Up: Britain's Next Make-Up Star,SHOW,2019,54,4.0,6.8,2095.0,5.621,7.0,GB,1,reality,14,glow up: britain's next make-up star
I Am Not Okay with This,SHOW,2020,21,1.0,7.5,58674.0,27.985,8.2,US,1,drama,10,i am not okay with this
WHAT / IF,SHOW,2019,54,1.0,6.3,15243.0,19.664,6.6,US,1,drama,10,what / if
Unsolved Mysteries,SHOW,2020,49,2.0,7.3,9492.0,18.654,7.8,US,1,documentation,26,unsolved mysteries
Cheer,SHOW,2020,56,2.0,8.1,6271.0,8.36,7.4,US,1,documentation,26,cheer
DC Super Hero Girls,SHOW,2019,10,2.0,7.1,1282.0,12.626,8.2,US,1,scifi,2,dc super hero girls
The Order,SHOW,2019,48,2.0,6.7,27943.0,27.883,7.9,US,1,scifi,2,the order
Down to Earth with Zac Efron,SHOW,2020,39,1.0,8.0,6586.0,17.742,7.8,US,1,documentation,26,down to earth with zac efron
Kipo and the Age of Wonderbeasts,SHOW,2020,23,3.0,8.3,5618.0,24.191,8.4,US,1,comedy,1,kipo and the age of wonderbeasts
Ghost in the Shell: SAC_2045,SHOW,2020,25,2.0,6.2,2397.0,11.482,6.5,JP,1,scifi,8,ghost in the shell: sac_2045
The Untamed,SHOW,2019,44,1.0,8.8,6181.0,30.895,8.5,CN,1,action,25,the untamed
Too Hot to Handle,SHOW,2020,42,3.0,4.6,12230.0,20.633,6.8,US,1,reality,19,too hot to handle
Another Life,SHOW,2019,42,2.0,5.2,35536.0,56.037,6.1,US,1,scifi,2,another life
Love & Anarchy,SHOW,2020,31,2.0,7.4,7896.0,13.59,7.3,SE,1,comedy,-1,love & anarchy
L.A.'s Finest,SHOW,2019,47,2.0,6.1,7000.0,21.788,7.3,US,1,crime,16,l.a.'s finest
Greatest Events of WWII in Colour,SHOW,2019,50,1.0,8.7,8622.0,7.929,8.6,GB,1,documentation,41,greatest events of wwii in colour
Tiger King,SHOW,2020,44,2.0,7.5,77790.0,9.63,7.0,US,1,documentation,26,tiger king
Undercover,SHOW,2019,49,3.0,7.8,17005.0,17.659,8.0,BE,1,drama,-1,undercover
Criminal: UK,SHOW,2019,44,2.0,7.6,18213.0,12.302,7.429,GB,1,crime,38,criminal: uk
Traitors,SHOW,2019,51,1.0,6.6,3130.0,4.526,6.8,GB,1,war,44,traitors
Merli: Dare to Know,SHOW,2019,48,2.0,7.6,1868.0,52.228,8.4,ES,1,comedy,42,merli: dare to know
Backstreet Rookie,SHOW,2020,62,1.0,7.4,2216.0,29.819,7.5,KR,1,drama,36,backstreet rookie
Dare Me,SHOW,2019,43,1.0,6.6,5254.0,15.001,7.9,US,1,thriller,32,dare me
Hotel Del Luna,SHOW,2019,80,1.0,8.2,8405.0,32.042,8.7,KR,1,romance,-1,hotel del luna
Wu Assassins,SHOW,2019,44,1.0,6.4,12921.0,15.475,7.3,US,1,scifi,2,wu assassins
To the Lake,SHOW,2019,51,2.0,7.2,12713.0,13.757,7.5,RU,1,thriller,-1,to the lake
Teenage Bounty Hunters,SHOW,2020,49,1.0,7.6,11426.0,16.492,7.9,US,1,comedy,1,teenage bounty hunters
Away,SHOW,2020,50,1.0,6.6,23787.0,16.426,6.8,US,1,drama,10,away
Floor is Lava,SHOW,2020,31,2.0,5.3,2429.0,9.617,7.8,US,1,reality,19,floor is lava
Julie and the Phantoms,SHOW,2020,2,1.0,8.4,9725.0,13.926,8.584,US,1,scifi,2,julie and the phantoms
How to Sell Drugs Online (Fast),SHOW,2019,32,3.0,7.9,31516.0,26.381,8.3,DE,1,comedy,-1,how to sell drugs online (fast)
Ultraman,SHOW,2019,24,3.0,6.8,2089.0,30.084,7.1,JP,1,animation,6,ultraman
Dark Desire,SHOW,2020,34,2.0,6.5,7420.0,122.06,7.3,MX,1,thriller,-1,dark desire
The Circle,SHOW,2020,52,5.0,7.2,6901.0,7.905,7.7,US,1,reality,19,the circle
BEASTARS,SHOW,2019,23,2.0,7.7,9782.0,66.572,8.7,JP,1,animation,6,beastars
Messiah,SHOW,2020,45,1.0,7.6,42667.0,19.659,7.4,US,1,drama,10,messiah
Get Organized with The Home Edit,SHOW,2020,42,2.0,5.4,1506.0,6.857,6.7,US,1,reality,19,get organized with the home edit
Daybreak,SHOW,2019,47,1.0,6.6,19654.0,18.304,7.3,US,1,scifi,2,daybreak
The Pharmacist,SHOW,2020,54,1.0,7.7,7261.0,3.063,8.4,US,1,documentation,26,the pharmacist
Schulz Saves America,SHOW,2020,17,1.0,7.3,1086.0,1.4,7.3,US,1,comedy,1,schulz saves america
Northern Rescue,SHOW,2019,44,1.0,6.9,4202.0,9.477,7.0,CA,1,drama,15,northern rescue
Itaewon Class,SHOW,2020,70,1.0,8.2,12780.0,36.591,8.5,KR,1,drama,36,itaewon class
Quicksand,SHOW,2019,46,1.0,7.5,21276.0,16.469,7.3,SE,1,drama,-1,quicksand
Start-Up,SHOW,2020,80,1.0,8.1,9697.0,32.075,8.4,KR,1,drama,36,start-up
Sintonia,SHOW,2019,44,3.0,6.6,1172.0,42.611,8.2,BR,1,drama,49,sintonia
It's Okay to Not Be Okay,SHOW,2020,76,1.0,8.6,22346.0,50.095,8.6,KR,1,drama,36,it's okay to not be okay
Her Private Life,SHOW,2019,75,2.0,7.7,3826.0,14.707,7.933,KR,1,comedy,24,her private life
Middleditch & Schwartz,SHOW,2020,51,1.0,8.6,5310.0,2.329,8.0,US,1,comedy,1,middleditch & schwartz
Bonding,SHOW,2019,17,2.0,7.1,16027.0,19.49,7.4,US,1,drama,10,bonding
Conversations with a Killer: The Ted Bundy Tapes,SHOW,2019,59,1.0,7.8,27439.0,14.137,7.6,US,1,documentation,26,conversations with a killer: the ted bundy tapes
Fear City: New York vs The Mafia,SHOW,2020,52,1.0,7.1,7354.0,10.282,6.9,US,1,crime,16,fear city: new york vs the mafia
Inside Bill's Brain: Decoding Bill Gates,SHOW,2019,53,1.0,7.9,10892.0,6.426,7.5,US,1,documentation,26,inside bill's brain: decoding bill gates
The Uncanny Counter,SHOW,2020,64,1.0,8.1,6033.0,28.255,8.8,KR,1,drama,36,the uncanny counter
GREAT PRETENDER,SHOW,2020,23,1.0,7.9,4902.0,13.641,7.6,JP,1,drama,7,great pretender
The Baker and the Beauty,SHOW,2020,32,1.0,7.3,4270.0,8.545,8.1,US,1,comedy,1,the baker and the beauty
V Wars,SHOW,2019,42,1.0,6.0,13745.0,19.7,7.7,US,1,scifi,2,v wars
High Score,SHOW,2020,42,1.0,7.4,7912.0,13.282,7.6,US,1,documentation,26,high score
Special,SHOW,2019,22,2.0,7.6,9434.0,6.88,6.7,US,1,comedy,1,special
Street Food,SHOW,2019,31,2.0,7.9,2760.0,4.101,7.9,US,1,documentation,26,street food
Oh My Baby,SHOW,2020,68,1.0,7.2,213.0,4.131,7.0,KR,1,comedy,24,oh my baby
High Seas,SHOW,2019,42,4.0,6.8,7359.0,20.911,7.0,ES,1,crime,-1,high seas
Chambers,SHOW,2019,44,1.0,6.4,8455.0,13.586,6.8,US,1,drama,10,chambers
The Letter for the King,SHOW,2020,47,1.0,5.9,7468.0,8.039,7.1,GB,1,action,20,the letter for the king
The Devil Next Door,SHOW,2019,46,1.0,7.6,13370.0,6.571,7.2,US,2,crime,16,the devil next door
White Lines,SHOW,2020,55,1.0,6.6,16768.0,14.393,6.8,GB,1,drama,29,white lines
Spinning Out,SHOW,2020,49,1.0,7.6,14066.0,14.067,8.1,US,1,drama,10,spinning out
Tales of the City,SHOW,2019,56,1.0,7.4,7930.0,10.445,7.5,US,1,drama,10,tales of the city
Stateless,SHOW,2020,53,1.0,7.5,9327.0,8.085,6.8,AU,1,drama,11,stateless
Power Rangers Beast Morphers,SHOW,2019,22,2.0,6.5,602.0,1.802,9.7,ES,1,action,-1,power rangers beast morphers
Darwin's Game,SHOW,2020,25,1.0,7.2,2440.0,14.208,7.86,JP,1,action,21,darwin's game
Osmosis,SHOW,2019,42,1.0,5.7,3041.0,8.783,5.9,FR,1,drama,35,osmosis
Tidying Up with Marie Kondo,SHOW,2019,40,1.0,6.6,3568.0,4.47,6.8,US,1,reality,19,tidying up with marie kondo
Selena: The Series,SHOW,2020,38,2.0,6.9,4505.0,45.91,7.5,US,1,drama,10,selena: the series
LEGO City Adventures,SHOW,2019,13,4.0,6.7,194.0,7.24,7.4,US,1,animation,22,lego city adventures
Dash & Lily,SHOW,2020,25,1.0,7.5,16978.0,16.738,8.2,US,1,drama,10,dash & lily
Carmen Sandiego,SHOW,2019,25,4.0,7.9,5744.0,16.916,8.1,US,1,animation,22,carmen sandiego
Toy Boy,SHOW,2019,61,2.0,6.5,7526.0,23.996,7.7,ES,1,drama,34,toy boy
Vagabond,SHOW,2019,63,1.0,8.2,7982.0,29.264,8.475,KR,1,drama,36,vagabond
Aunty Donna's Big Ol House of Fun,SHOW,2020,20,1.0,7.9,6318.0,4.316,7.5,AU,1,comedy,-1,aunty donna's big ol house of fun
Caliphate,SHOW,2020,48,1.0,8.2,18134.0,12.662,7.3,SE,1,drama,-1,caliphate
Heaven Official's Blessing,SHOW,2020,24,1.0,8.2,1475.0,7.437,8.6,CN,2,scifi,50,heaven official's blessing
Astronomy Club: The Sketch Show,SHOW,2019,20,1.0,6.9,598.0,1.4,7.2,US,1,comedy,1,astronomy club: the sketch show
Grand Army,SHOW,2020,52,1.0,7.4,6723.0,9.697,8.0,US,1,drama,10,grand army
Next in Fashion,SHOW,2020,50,1.0,7.3,3646.0,4.72,8.0,US,1,reality,19,next in fashion
Persona,SHOW,2019,22,2.0,6.6,1196.0,5.056,6.5,KR,1,drama,36,persona
Killer Inside: The Mind of Aaron Hernandez,SHOW,2020,67,1.0,7.4,16934.0,7.173,7.4,US,1,documentation,26,killer inside: the mind of aaron hernandez
Garth Brooks: The Road I'm On,SHOW,2019,86,1.0,7.4,287.0,0.699,10.0,US,1,documentation,26,garth brooks: the road i'm on
Biohackers,SHOW,2020,42,2.0,6.8,9577.0,11.461,7.5,DE,1,drama,45,biohackers
The I-Land,SHOW,2019,40,1.0,4.6,16918.0,16.064,5.66,US,1,drama,10,the i-land
"The Mind, Explained",SHOW,2019,22,2.0,8.0,5312.0,9.751,7.8,US,1,documentation,26,"the mind, explained"
Carole & Tuesday,SHOW,2019,24,1.0,7.8,2038.0,9.913,7.4,JP,1,scifi,8,carole & tuesday
Arthdal Chronicles,SHOW,2019,80,3.0,8.3,4351.0,16.156,8.114,KR,1,drama,36,arthdal chronicles
Green Eggs and Ham,SHOW,2019,28,2.0,8.1,2631.0,13.878,8.6,US,1,animation,22,green eggs and ham
Challenger: The Final Flight,SHOW,2020,45,1.0,7.8,6927.0,14.707,7.1,US,1,documentation,26,challenger: the final flight
Unabomber: In His Own Words,SHOW,2020,44,1.0,7.2,3446.0,4.465,7.4,US,1,crime,16,unabomber: in his own words
Song Exploder,SHOW,2020,25,2.0,7.4,776.0,1.366,8.0,US,1,documentation,26,song exploder
Dragons: Rescue Riders,SHOW,2019,24,2.0,5.9,314.0,10.237,7.0,US,1,action,17,dragons: rescue riders
The Ghost Bride,SHOW,2020,51,1.0,6.2,739.0,7.036,7.0,TW,2,drama,27,the ghost bride
7SEEDS,SHOW,2019,25,2.0,6.3,1420.0,32.402,8.0,JP,1,scifi,8,7seeds
Mr. Iglesias,SHOW,2019,29,3.0,7.1,6857.0,7.974,7.7,US,1,comedy,1,mr. iglesias
Gameboys,SHOW,2020,27,2.0,8.4,1118.0,8.164,8.5,PH,1,drama,-1,gameboys
The Liberator,SHOW,2020,49,1.0,7.5,6128.0,19.173,7.1,US,1,action,17,the liberator
The Baby-Sitters Club,SHOW,2020,27,2.0,7.3,3966.0,29.598,8.0,US,1,comedy,1,the baby-sitters club
The Gift,SHOW,2019,43,3.0,7.0,21802.0,16.327,7.7,TR,1,thriller,-1,the gift
Prank Encounters,SHOW,2019,23,2.0,5.2,2728.0,15.251,7.3,US,1,reality,19,prank encounters
Trinkets,SHOW,2019,26,2.0,7.0,10725.0,17.648,8.089,US,1,drama,10,trinkets
Ju-On: Origins,SHOW,2020,29,1.0,6.1,4546.0,20.607,6.8,JP,1,drama,7,ju-on: origins
Dolly Parton's Heartstrings,SHOW,2019,66,1.0,7.6,2107.0,4.747,7.3,US,1,drama,10,dolly parton's heartstrings
October Faction,SHOW,2020,41,1.0,6.1,10961.0,8.382,6.8,US,1,horror,-1,october faction
Hache,SHOW,2019,45,2.0,6.5,1638.0,14.23,6.6,ES,1,crime,-1,hache
Medical Police,SHOW,2020,24,1.0,5.9,4203.0,9.85,6.7,US,1,comedy,1,medical police
My Unfamiliar Family,SHOW,2020,73,1.0,7.8,109.0,15.464,8.0,KR,1,drama,36,my unfamiliar family
Puerta 7,SHOW,2020,41,1.0,5.6,560.0,6.19,7.1,AR,1,crime,-1,puerta 7
The Last Kids on Earth,SHOW,2019,35,4.0,7.2,1358.0,13.206,8.4,US,1,animation,22,the last kids on earth
The Barrier,SHOW,2020,53,1.0,6.8,3506.0,21.052,7.1,ES,1,scifi,-1,the barrier
Valeria,SHOW,2020,41,2.0,6.5,5701.0,24.53,7.5,ES,1,comedy,42,valeria
The Bonfire of Destiny,SHOW,2019,50,1.0,7.6,4560.0,10.26,7.4,FR,1,drama,35,the bonfire of destiny
Gentefied,SHOW,2020,30,2.0,7.3,2697.0,3.205,7.8,US,1,comedy,1,gentefied
Mystic Pop-up Bar,SHOW,2020,70,1.0,8.0,2073.0,7.735,8.286,KR,1,drama,36,mystic pop-up bar
BNA,SHOW,2020,24,1.0,7.2,2605.0,18.263,8.4,JP,1,scifi,8,bna
Designated Survivor: 60 Days,SHOW,2019,74,1.0,8.1,1274.0,7.252,8.4,KR,1,thriller,-1,designated survivor: 60 days
Trial by Media,SHOW,2020,62,1.0,7.1,3172.0,2.792,7.3,US,1,crime,16,trial by media
Cannon Busters,SHOW,2019,24,1.0,6.6,1200.0,4.263,6.4,US,3,scifi,2,cannon busters
"Good Morning, Verônica",SHOW,2020,45,2.0,7.5,3673.0,13.922,7.4,BR,1,crime,-1,"good morning, verônica"
AJ and the Queen,SHOW,2020,51,1.0,7.4,8129.0,10.486,7.7,US,1,comedy,1,aj and the queen
Chef's Table: BBQ,SHOW,2020,44,1.0,7.8,1006.0,3.433,7.9,US,1,documentation,26,chef's table: bbq
Gigantosaurus,SHOW,2019,13,3.0,6.4,173.0,10.686,7.0,FR,2,animation,12,gigantosaurus
Rainbow High,SHOW,2020,6,3.0,5.8,141.0,2.632,9.8,US,1,comedy,1,rainbow high
Turn Up Charlie,SHOW,2019,27,1.0,7.0,7431.0,5.235,7.2,GB,1,comedy,0,turn up charlie
Family Business,SHOW,2019,33,3.0,7.4,4051.0,12.624,7.3,FR,1,comedy,13,family business
The Eddy,SHOW,2020,58,1.0,7.1,2926.0,8.046,6.6,FR,2,drama,35,the eddy
Kevin Hart: Don't F**k This Up,SHOW,2019,32,1.0,6.4,2020.0,1.443,6.2,US,1,documentation,26,kevin hart: don't f**k this up
The Mess You Leave Behind,SHOW,2020,45,1.0,6.7,9053.0,27.981,6.916,ES,1,crime,-1,the mess you leave behind
"Nisman. The Prosecutor, the President and the Spy",SHOW,2019,62,1.0,7.6,581.0,1.923,6.6,AR,1,history,-1,"nisman. the prosecutor, the president and the spy"
Love 101,SHOW,2020,46,2.0,7.5,14206.0,14.642,8.1,TR,1,drama,40,love 101
The Confession Killer,SHOW,2019,48,1.0,7.4,8984.0,4.44,7.3,US,1,crime,16,the confession killer
Kota Factory,SHOW,2019,39,2.0,9.1,69316.0,9.584,8.3,IN,1,drama,37,kota factory
Lenox Hill,SHOW,2020,48,1.0,8.6,2311.0,6.268,6.8,US,1,documentation,26,lenox hill
Dream Home Makeover,SHOW,2020,27,3.0,5.6,1101.0,8.584,7.6,US,1,reality,19,dream home makeover
The Alcàsser Murders,SHOW,2019,61,1.0,7.1,2127.0,7.573,7.4,ES,1,documentation,52,the alcàsser murders
The Disappearance of Madeleine McCann,SHOW,2019,55,1.0,6.6,10691.0,6.571,6.8,GB,1,crime,38,the disappearance of madeleine mccann
Connected,SHOW,2020,44,1.0,7.5,1724.0,4.812,8.2,US,1,documentation,26,connected
The InBESTigators,SHOW,2019,19,2.0,8.1,804.0,7.564,8.8,AU,1,comedy,-1,the inbestigators
Black Space,SHOW,2020,46,2.0,6.7,1834.0,4.268,7.3,IL,1,crime,-1,black space
Interior Design Masters,SHOW,2019,54,3.0,6.4,1420.0,3.167,6.9,GB,1,reality,14,interior design masters
No Good Nick,SHOW,2019,29,2.0,5.9,2920.0,11.386,7.1,US,1,comedy,1,no good nick
History 101,SHOW,2020,22,2.0,6.8,4100.0,7.172,7.0,GB,1,documentation,41,history 101
Trailer Park Boys: The Animated Series,SHOW,2019,25,2.0,7.5,2983.0,12.449,7.3,CA,1,animation,9,trailer park boys: the animated series
The Great Heist,SHOW,2020,42,1.0,7.3,2561.0,22.871,7.3,CO,1,crime,-1,the great heist
The Least Expected Day: Inside the Movistar Team 2019,SHOW,2020,30,3.0,7.4,765.0,3.051,7.1,ES,1,documentation,52,the least expected day: inside the movistar team 2019
My Holo Love,SHOW,2020,53,1.0,7.6,2511.0,24.845,8.6,KR,1,drama,36,my holo love
Ares,SHOW,2020,29,1.0,5.7,4389.0,7.928,6.9,NL,1,thriller,-1,ares
Romance Is a Bonus Book,SHOW,2019,63,1.0,8.0,5278.0,15.982,8.076,KR,1,drama,36,romance is a bonus book
The Chosen One,SHOW,2019,44,2.0,5.7,701.0,7.873,8.2,BR,1,thriller,-1,the chosen one
Home for Christmas,SHOW,2019,29,2.0,7.7,13794.0,8.298,7.3,NO,1,comedy,-1,home for christmas
Delhi Crime,SHOW,2019,35,2.0,8.5,19158.0,11.392,8.2,IN,1,drama,37,delhi crime
Pup Academy,SHOW,2019,27,2.0,6.5,512.0,13.06,7.0,US,1,family,3,pup academy
The Possessed,SHOW,2020,9,1.0,5.7,931.0,0.6,10.0,KR,1,thriller,-1,the possessed
Fast & Furious Spy Racers,SHOW,2019,24,6.0,5.7,1467.0,57.899,6.946,US,1,family,3,fast & furious spy racers
1994,SHOW,2019,178,1.0,7.6,524.0,2.626,8.7,MX,1,documentation,-1,1994
Hospital Playlist,SHOW,2020,93,2.0,8.8,5099.0,27.612,8.983,KR,1,drama,36,hospital playlist
The Playbook,SHOW,2020,34,1.0,7.4,1395.0,8.281,6.8,US,1,documentation,26,the playbook
100 Humans: Life's Questions. Answered.,SHOW,2020,37,1.0,5.7,4055.0,3.447,6.4,US,1,documentation,26,100 humans: life's questions. answered.
Japan Sinks: 2020,SHOW,2020,26,1.0,6.4,2992.0,11.82,7.3,JP,1,action,21,japan sinks: 2020
The Ripper,SHOW,2020,49,1.0,7.1,9461.0,4.87,6.9,GB,1,documentation,41,the ripper
Killer Ratings,SHOW,2019,50,1.0,7.6,1711.0,3.109,7.6,BR,1,documentation,-1,killer ratings
Detention,SHOW,2020,49,1.0,6.3,512.0,4.759,7.9,TW,1,drama,27,detention
Queen Sono,SHOW,2020,43,2.0,5.9,1240.0,2.243,7.5,ZA,1,thriller,-1,queen sono
Alien Worlds,SHOW,2020,44,1.0,6.5,3596.0,12.757,6.8,GB,1,documentation,41,alien worlds
Rise of Empires: Ottoman,SHOW,2020,45,2.0,7.9,22274.0,14.297,7.2,TR,1,drama,40,rise of empires: ottoman
Losers,SHOW,2019,8,1.0,7.6,1766.0,1.065,7.4,GB,1,documentation,41,losers
Basketball or Nothing,SHOW,2019,34,1.0,7.4,623.0,3.315,8.3,US,1,documentation,26,basketball or nothing
How to Fix a Drug Scandal,SHOW,2020,53,1.0,7.0,3298.0,4.32,7.4,US,1,documentation,26,how to fix a drug scandal
Deaf U,SHOW,2020,19,1.0,6.4,466.0,7.534,5.8,US,1,reality,19,deaf u
Merry Happy Whatever,SHOW,2019,26,1.0,6.4,4542.0,4.855,6.6,US,1,comedy,1,merry happy whatever
We Are the Wave,SHOW,2019,49,1.0,6.2,2687.0,8.768,6.0,DE,1,drama,45,we are the wave
Rilakkuma and Kaoru,SHOW,2019,12,1.0,8.2,1616.0,8.237,7.4,JP,1,animation,6,rilakkuma and kaoru
Love Alarm,SHOW,2019,52,2.0,6.8,5534.0,106.624,8.5,KR,1,scifi,43,love alarm
Nobody's Looking,SHOW,2019,26,1.0,7.7,2024.0,3.534,7.6,BR,1,comedy,51,nobody's looking
"Sex, Explained",SHOW,2020,22,1.0,6.9,3215.0,63.817,6.6,US,1,documentation,26,"sex, explained"
The Neighbor,SHOW,2019,29,2.0,6.5,2152.0,11.332,6.5,ES,1,comedy,42,the neighbor
We Are the Champions,SHOW,2020,32,1.0,7.1,1415.0,8.238,6.3,US,1,documentation,26,we are the champions
Who Killed Little Gregory?,SHOW,2019,60,1.0,7.4,2952.0,3.312,7.6,FR,1,documentation,-1,who killed little gregory?
Until Dawn,SHOW,2020,21,1.0,2.4,149.0,1.727,2.8,FR,1,reality,-1,until dawn
Lunatics,SHOW,2019,36,1.0,6.5,3179.0,3.871,6.2,US,1,comedy,1,lunatics
Apache: The Life of Carlos Tevez,SHOW,2019,47,1.0,7.2,1616.0,15.604,7.6,AR,1,crime,-1,apache: the life of carlos tevez
Vampires,SHOW,2020,40,1.0,5.7,1289.0,14.702,7.5,FR,1,scifi,-1,vampires
Jamtara – Sabka Number Ayega,SHOW,2020,27,1.0,7.2,6319.0,4.971,7.6,IN,1,drama,37,jamtara – sabka number ayega
When the Camellia Blooms,SHOW,2019,55,1.0,7.9,2459.0,9.96,8.4,KR,1,drama,36,when the camellia blooms
Record of Youth,SHOW,2020,73,1.0,7.2,2381.0,16.785,8.3,KR,1,drama,36,record of youth
Dating Around,SHOW,2019,27,2.0,6.3,1208.0,5.019,5.5,US,1,reality,19,dating around
Les de l'hoquei,SHOW,2019,51,2.0,6.8,437.0,7.492,7.7,ES,1,drama,34,les de l'hoquei
Self Made: Inspired by the Life of Madam C.J. Walker,SHOW,2020,47,1.0,7.3,11711.0,10.598,7.5,US,1,drama,10,self made: inspired by the life of madam c.j. walker
The Last Word,SHOW,2020,41,1.0,7.0,961.0,4.113,6.7,DE,1,drama,45,the last word
The Unlisted,SHOW,2019,24,1.0,6.5,968.0,8.926,7.6,AU,1,scifi,-1,the unlisted
Tiny Pretty Things,SHOW,2020,56,1.0,5.9,9252.0,23.608,7.692,US,1,thriller,32,tiny pretty things
Summertime,SHOW,2020,43,3.0,6.0,2732.0,54.788,6.9,IT,1,drama,46,summertime
Luna Nera,SHOW,2020,45,1.0,5.9,2996.0,17.252,7.7,IT,1,drama,46,luna nera
Always a Witch,SHOW,2019,38,2.0,6.2,2474.0,18.361,7.1,CO,1,scifi,-1,always a witch
Morphle,SHOW,2019,10,5.0,5.2,83.0,0.832,10.0,NL,2,animation,-1,morphle
Ultramarine Magmell,SHOW,2019,24,1.0,6.0,627.0,10.92,7.0,JP,1,animation,6,ultramarine magmell
Monarca,SHOW,2019,44,2.0,7.8,3264.0,31.761,7.6,MX,1,drama,28,monarca
Exhibit A,SHOW,2019,36,1.0,6.3,1055.0,7.419,7.4,US,1,documentation,26,exhibit a
"Breakfast, Lunch & Dinner",SHOW,2019,44,1.0,6.7,1066.0,1.067,8.0,US,1,documentation,26,"breakfast, lunch & dinner"
